Boađus: 60¶
Dan lassin lea juolluduvvon prošeaktaruhtadeapmi máŋgga konkrehta doaibma- 	bidjui 	dáin suohkaniin .¶KONV...doaibma- 	bidjui...
Prošeakta 	bidjui 	johtui 2009:s ja dál álgá njealját jahki .¶ERR
	Aššu –¶
Vaikko lei vehá issoras , de fertiimet aŋkke boagustit go áhkku orui nu komiska go nahkáriid siste ii ipmirdan maide ja doaivvui roahtuid 	bidjui 	boahtán .¶
Vulge go áhkku ja dat eará sáhpannieiddat daid vilgessáhpaniid 	bidjui 	, vai álge go ruovttu ohcat ?¶
- Vulget min mielde duohko min 	bidjui 	, hásttuheigga dat vilgessáhpanat ja mus gal lei miella sutno ja buoidaga Čere mielde dohko vuolgit , muitališgođii áhkku .¶
- Dál ii leat šat guhkki din 	bidjui 	, gullui vilgessáhpan gii ovddemusas lei dieđiheame .¶
Unna sáhpánaččat girde ikte min 	bidjui 	ja muitaledje ahte olbmot leat meahccái ceggon dievva biergolávuid .¶
Stuoradiggedieđáhusas Samedikke doaimma birra , mii Stáhtaráđđái 	bidjui 	mannan bearjadaga , bođii ovdan ahte Stuoradiggi hálida eambbo válddi addit Sámediggái .¶ERR
	Avvir –¶
Dál mearridii Suoma stáhta ahte sámegiela ovddidahttin galggai gullat kultuvrra vuollái ja 	bidjui 	sierra poastan stádabušehttii , masa várrejuvvo jahkásaččat ruhta sámegielaid giellabesiide .¶ERR
Dalle fas 	bidjui 	mearri man olu dorski fertii unnimusat bivdit jus galggai oažžut gonagasreabbábivdu eriid .¶ERR
Sámediggái NRK Sámi Radio neahttasiiddus čuožžu ahte Ovddádusbellodat lea mannamin ledjona 	bidjui 	( Sámediggái ) , muhto Svein Ole Sandvik ii oaivvil dan gal .¶
– Mii eat lean ovttaoaivilis dainna mo earri proseassa 	bidjui 	johtui diibmá .¶ERR
Bánnui 	bidjui 	lávki ja rušpi oliivaoljjus ruškkodit .¶ERR
– Na vuolgu min 	bidjui 	de oaččut skeaŋkka .¶
Manaime 	bidjui 	ja son ohcalii skeaŋkkaža maid lei oastán .¶
- Na it got don oainne , munno 	bidjui 	lea golgan dievva giđđadulvečáhci , civkkádii eadnegoddesáhpán ja njuikestalai vulosbajás .¶
- Mun lean aiddo čorgen bieju vai lea ráinnas dassá go čivggan , ja dal deavdá dat dulvi fas ruskkaid munno 	bidjui 	cihráidii son .¶
Muhtimat leat oaidnán guovžža čakčat ovdal go manai 	bidjui 	, muitala Eira .¶
Norgga spábbačiekčan lihtu Geir Larsen lea ráhkadan ovdaprošeavtta mii 	bidjui 	ovdan dievasčoahkkimis Romssas čakčamánus .¶ERR
Ferten maid boradit albma dievva čoavjji ovdal go manan 	bidjui 	nohkat dajai son .¶
Dát lea maŋŋá geardduhuvvon ; maŋimus dallego ođđa boazodoaloláhka mearriduvvui , gos eanajuohkinrivttiide 	bidjui 	viidábut bargu boazodoalu ektui .¶ERR
Dalle fas 	bidjui 	mearri man olu dorski fertii unnimusat bivdit jus galggai oažžut gonagasreabbábivdu eriid .¶ERR
Fløtten 	bidjui 	eret¶ERR
NRK Sámi Radio neahttasiiddus čuožžu ahte Ovddádusbellodat lea mannamin ledjona 	bidjui 	( Sámediggái ) , muhto Svein Ole Sandvik ii oaivvil dan gal .¶
– Mii eat lean ovttaoaivilis dainna mo earri proseassa 	bidjui 	johtui diibmá .¶ERR
Milano herttot , Ståle Bjørnhaug Prospero hámis , manahii fámustis juonalaš villjii , Antonioi , ja 	bidjui 	oktan nieiddainis , Helga Guren Miranda hámis , šliđáin rievdat mearas ja nu rievddaiga ávdin sullui .¶ERR
Dat 	bidjui 	biila maŋábeallai .¶ERR
Maŋŋá kriminála ášši mii čadnui ruhtaniktimii 2003 	bidjui 	son giddagassii .¶ERR
Ovdalaš go UKM 2009 bargu álggii de lea 	bidjui 	ođđa sisadieđihanortnet .¶ERR
Nystad lohká dáid álgojagiid eai lean nu olu oahpaheaddjit ja buohkat fertejedje oahpahit daid fágaid masa 	bidjui 	.¶ERR
