 ## - Mun beroštan das ahte mii {galget} geavahišgoahtit daid vejolašvuođaid mat eanandoalloopmodagain gávdnojit . #FIXED
 ## Mun dajašin nuppeláhkai " jus mii {galget} nannet sámi álbmoga , de fertet muitit iežamet historjjá , leš dal bahá dahje buorre " . #FIXED
 ## Sámi girjjálašvuohta sihkkárastá dan , ahte mii lávket boahtteáigái almma ahte mii {vajáldahttet} iežamet árbbi . #FIXED
 ##  Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ## – Ii leat válga vel , danne eat čohkket – Čohkkedit ii sáhte vaikko leat miehtebiekkas , easkka dál mii {álget} válgagiččuiguin . #FIXED
 ## Go sápmelaččat leat oassin servvodagas , de fertet mii maid gierdat ahte mii {namuhuvvojit} oktavuođain nu go Honnesváhki-revya bihtáin . #FIXED
 ## Mii háliidit ahte Sámediggi galgá čielggas dasa ahte mii {galget} leat aktiiva veahkki , ja veahkehit resurssaiguin nu ahte buohkat geat háliidit , galget sáhttit čađahit dakkár proseassaid . #FIXED
 ## Mii fertet čállit ođđa álbmotrivttiid ektui nu ahte mii {gáhtet} álbmotvuovdiina . #FIXED
 ## Min geatnegasvuohta lea bearráigeahččat ahte mii {čuvvot} lága , ja maiddái sin geat leat ožžon lobi vuovdit alkohola olgobáikkiin , go gielddas lea maid dárkkistandoaibma dan ektui . #FIXED
 ##  Dál lea áigi ahte mii {atnet} ávkki nubbi nuppis ja bargat ovttas anne lihkostuvvat ollásii dáinna prošeavttain ja ahte dát oidnogoahtá suohkaniin . #FIXED
 ## Dan rádjái goit liikká ii leat čájehuvvon ahte doppe leat boasttuvuođat , nu ahte buot orru manname hui čorgadit , vaikke mii {attiime} áibbas eará áddejumi lávvordaga Ávviris , máid vel oktii šállosat . #FIXED
 ## Giitu ollu visot nuorat Jåhkåmåhkes geat serve leairras , ja giitu go mii {beasaime} leat ovttas dinguin daid guokte leairabeivviid ! #FIXED
 ## Go mii háliideimmet ahte visot galge čoahkkanit goahtái , de mii {čuorvvuime} ja sii vástidedje juste nu go ledje oahppan . #FIXED
 ## Go mii {háliideimme} ahte visot galge čoahkkanit goahtái , de mii čuorvvuime ja sii vástidedje juste nu go ledje oahppan . #FIXED
	## In mun dieđe gii {dáhtole} hearggi vuoitit ná maŋŋi giđa, vástida Mikkel Áilu. #FIXED
	#$ Jus eiseválddiin {livčče} dáhttu bargat maidege áššiin, livčče sii sáhttán gáhttet stuora boazojámu nealggi geažil, lohká Dyrebeskyttelsena jođiheaddji Tatiana Kapstø. #FIXED
	## Bihttá lea muhtomin hui somá, muhto leat maid scenat gos ipmirdat ahte dás {galggaše} leat somá, muhto it boagus goitge. #FIXED
	## Dál berrejit olgeš- ja ovddádusbellodat gávnnahit maid sii háliidit, nubbi {háliidivčče} heaittihit ee. sámedikki ja nubbi fas ii. #FIXED
	## Ealáhusa vuođđudanvejolašvuođaide {livčče} dat sihkkarit heittot, jus eanandoalu sáhtašii oahppat iežas guovllus. #FIXED
	## Leat vaikko man ollu dárbbut gokko {livčče} galgat vejolaš oažžut fálaldaga sámegillii, lohká son. #FIXED
	## Dál leat Issáhis nu ollu sáhpánat, ahte son {háliidivčče} vuovdit eanas oasi. #FIXED
	## Oktasašbargu {galggaše} álgit vuos veháš vuolit dásis ovdal go gánneha faŋuhit bajás guvlui. #FIXED
	## Dan dihte smiehtai son dušše dan, ahte movt son {galggaše} dohko beassat. #FIXED
	## Eira lohká ahte jus dákkár njuolggadus {boađáše} boazodoalu ektui, de livččii dat boazodollui loahppa. #FIXED
	## Eira lohká ahte jus dákkár njuolggadus boađášii boazodoalu ektui, de {livčče} dat boazodollui loahppa. #FIXED
	## Lea dieđusge, muhto mu mielas {livčče} eará diŋggaide leamaš eanet atnu.
	## {Galggaše} mis buohkain oassi dán árbbis.
	## Muhto buohkat geat leat leamaš Máze doaluin dáidet jurddašan ahte gilli {ánssášivčče} buoret doalloviesu.
	## Dálááigge dáiddár Geir Tore Holm lohká sámi kultuvra dál {dárbbašivčče} ođđa vara ja siepmana ja evttoha álggahit Sámi akademiija.
	## Dát čielggadeapmi {mearkkašivčče} ge ja nannešii dávviriid boahttevaš ruovttuluotta máhcaheami, oaivvilda Jomppanen.
	## Dát evttohus {gottáše} min, ja sáddešii 15 olbmo bargguhisvuhtii.
	## Nils Gaup {dárbbašivčče} 30 miljon ruvnnu, namalassii beali, iežas filmma dahkat duohtan.
	## Isak Saba dovddahii čiekŋalis vuostehágu ja suhtu mearrádusaid vuostá ja jearai sámegieláviissas Sagai Muittalægje ahte ii go giettis šattale rássi seammá bures, {humaše} dál dárogiela vai sámegiela, ja ii go doallánivčče dása go sápmelaččat galget oastit eatnama mii doložis juo lea leamaš sin iežaset.
	## Sus {livččii} galgan leat guhkes, čuvges vuovttat, jurddašii son.
	## Dat lea hui váidaláhtti, go de {šattašii} logut earálágánat, loahpaha son.
	## Olbmot {háliidivččii} birget ja bargat bohccuiguin, muhto ná movt dál lea dilli, de ii leat vejolaš dan dahkat.
	## Muhto man stuora vearrivuohta livččii jus vigihis olbmot {livččii} dubmehallan.
