Danne han boazu válljestalláge geasset álbmámus šattuid ja šaddoosiid , mat 	addet 	eanemus eallámuša . ¶
Vuollugasbáikkit ja alážat 	addet 	variášuvnnaid , mas vuollugasbáikkiin lea buorre guohtun ja alážat leat bálganbáikkit . ¶
Dássedis guođoheapmi dákko , ja vaikkoba oazit , 	addet 	geavatlaš anihahtii ráji . ¶
Sii dihtet ahte dat sáhttá dahkkot , jus dan seammás 	addet 	Älvsbyn eret . ¶
Danne han boazu válljestalláge geasset álbmámus šattuid ja šaddoosiid , mat 	addet 	eanemus eallámuša . ¶
Vuollugasbáikkit ja alážat 	addet 	variášuvnnaid , mas vuollugasbáikkiin lea buorre guohtun ja alážat leat bálganbáikkit . ¶
Dássedis guođoheapmi dákko , ja vaikkoba oazit , 	addet 	geavatlaš anihahtii ráji . ¶
Sii dihtet ahte dat sáhttá dahkkot , jus dan seammás 	addet 	Älvsbyn eret . ¶
	addet 	fálaldagaid dálkkodeami ja ráđđeaddi ¶
	addet 	dán fálaldaga . ¶
válljen lotnolasčovdosa gos 	addet 	DGT oah ¶
Dasa lassin go 	addet 	joatkkaoahpahusa sámi nuoraide galget skuvllat ovddidit sámi giela ja kultuvrra gáiddusoahpahusfálaldaga ja kursa- ja ovdánahttinbarggu mii lea guovllu ealáhusaidovdánahttima ja sámi kultuvrra várás . ¶
Sámelága giellanjuolggadusat 	addet 	riikkaássiide gielalaš vuoigatvuođaid mat doibmet go sis lea dahkamuš almmolaš orgánaiguin . ¶
Oahpahus ja bajásšaddan sámegielalaš birrasis 	addet 	guđege oahppái buriid vejolašvuođaid ovdánit sámegielas nu ahte dat šaddá lunddolaš geavahusgiellan . ¶
Sámelága giellanjuolggadusat 	addet 	riikkaolbmuide giellavuoigatvuođaid go sis lea dahkamuš almmolaš orgánaiguin . ¶
Giellanjuolggadusat 	addet 	riikkaolbmuide giellavuoigatvuođaid go sis lea dahkamuš almmolaš orgánaiguin . ¶
Politiijaallaskuvlii beassannjuolggadusat 	addet 	vejolašvuođa váldit ohppui joba 20 proseanttage dain guđet ohcet nugohčoduvvon erenoamáš heivvolašvuođa geažil , namalassii go ohcciin leat attáldagat dahje máhtut maid politiijaetáhta dárbbaša . ¶
Dál galgat sakka vuoruhit eanandoallobuvttadeamis dakkár heivehemiid mat 	addet 	buoret dálkkádatvuoittuid . ¶
Vuoruhit doaibmabijuid mat buktet buori ja hehttejit dálkkádatrievdamiid ja 	addet 	positiiva ja dohkálaš ávkki seailluhit biologalaš šláddjivuođa ja eará dehálaš birasárvvuid ¶
Váikkuhit doaibmabijuide mat 	addet 	guoddevaš šaddaneavttuid biebmogálvvuide , oktanis guoddevaš biebmogolahemiin , biebmobázahusaid unnidemiin ja vugiin mas buorebut geavahit biebmoloahpaid . ¶
Lea maid mávssolaš , ahte geavaheaddji beassá muitalit dávdaovdasiiddis ja bákčasiiddis birra , ja ahte son ádde dieđuid ja rávvagiid , maid bargit sutnje 	addet 	. ¶
Oktan Einar Niemi 1994 čielggademiin seammá gažaldagain nuortasámiid dáfus 	addet 	dát historjjálaš čielggadeami guovlluássiid eatnamiid- ja čáziid geavaheami birra ja veahkkin čájehit makkár ovdalaš árbevierut ja vuoigatvuođaoainnut ovddeš áiggis gitta dássožii leat čadnon dan geavaheapmái . ¶
Ámmátolbmuid olu muitaleamit Finnmárkkus 16- ja 1700-logus 	addet 	maid duođalaš gova Finnmárkku heajos áiggis dalle . ¶
Vaikko logut dieđusge eai leat duođaštuvvon , de dat goitge 	addet 	buohtastahttinvuođu . ¶
Dan áigge gáldut dálá Mátta-Várjjagis , 	addet 	seammá gova . ¶
Sin riggodatgeavaheami riekteoaidnu lea vuođustuvvon dálá Finnmárkku meahccegeavaheami lágaide , mat duohtavuođas 	addet 	buot Finnmárkku ássiide measta seammá rievtti bivdit meahceelliid ja guliid , ja lubmet // murjet ja bartta háhkat . ¶
Orohatstivrra válddi eahpečielga njuolggadusat 	addet 	orohaga eanetlohkui vejolašvuođa boastut geavahit iežaset válddi ovddidit iežaset beroštumiid ovdalii orohaga oktasaš beroštumiid , njuolggo vahágin unnitlohkui . ¶
Dalle sáhttá leat almmolaš beroštupmi ahte eiseválddit 	addet 	gohččumiid ja bákkolaččat čađahit doaimmaid . ¶
Dasa lea ovddemusat čilgehussan ahte gárvves rusttegiid čuovvolit ja bearráigehččet beare heittohit , muhto maiddái ahte suohkanat 	addet 	dispensašuvnnaid maŋŋel go rusttegat leat dohkkehuvvon ja spealloruđat juolluduvvon . ¶
Boazobargiid máhttu bohcco olgguldas hámiid , goruda ja struktuvrra ( morfologiijja ) birra leat aŋkke deaŧalaččat , ja 	addet 	buriid čujuhusaid dasa makkár guohtunáigodat lea leamaš . ¶
Deattut váikkuhit sakka ealu buvttadeapmái , ja bargojoavku oaivvilda danne ahte sihke miesseproseanta ja biergobuvttadeapmi sáhttá leat diehtun lassin daidda dieđuide maid deattut 	addet 	guohtundili birra . ¶
Bargojoavku oaivvilda ahte dain guovlluin leat ovddeš vásáhusat deattuiguin ja buvttadandieđuiguin dat mat 	addet 	buoremus gova das mii boazologu guohtunvuođđu lea . ¶
Dat mearkkaša ahte ii leat vejolaš sirdit eará siidii ovdalgo ođđa siidda siidaosiid jođiheaddjit ovttamielalaččat 	addet 	lobi nu dahkat . ¶
Dás leat mearrádusat mat 	addet 	vejolašvuođa álggahit doaibmabijuid ja ráŋggáštusaid jus lágat ja njuolggadusat eai doahttaluvvo . ¶
Guovllustivra galgá , lassin dasa go dárkkistit ahte lága mearrádusat doaibmanjuolggadusaid ráhkadeami birra leat čuvvojuvvon , maiddái árvvoštallat 	addet 	go doaibmanjuolggadusat vuođu doaimmahit ekologalaččat guoddevaš boazodoalu orohagas . ¶
Sisdoalu dáfus lea ráđđádallangeatnegasvuohta viidát go gulaskuddanvuoigatvuohta , ja ráđđádallamat 	addet 	Sámediggái stuorát vejolašvuođa váikkuhit go dan maid gulaskuddanvuoigatvuohta addá . ¶
Láhkafápmuduvvon váldi nu movt kulturmuitolága láhkaásahusat 	addet 	mas Sámediggi doaibmá vuollásaš hálddašanorgánan , ja doarjjahálddašeapmi mas Sámediggi maiddái doaibmá hálddašanorgánan muhto dattege friddjadet rollas , leat ovdamearkkat dasa ahte Sámediggi lea unnán sorjjasmeahttun stáhta eiseválddiid ektui . ¶
Sámelága njuolggadusat 	addet 	Sámediggái veahá eará saji go dábálaš hálddašanorgánain lea . ¶
Ođđa Zealánddas leat lágas mearrádusat mat 	addet 	maoriide vuoigatvuođa ráđđádallat sidjiide guoskevaš áššiin . ¶
Nu movt bargojoavku čilge kap. 2.4:s , de lea ráđđádallanriekti eanas surggiin viidát go gulaskuddanriekti , ja ráđđádallamat 	addet 	Sámediggái stuorát váikkuhanvejolašvuođa . ¶
dát njuolggadusat ja mearrádusat 	addet 	vejolašvuođa , de sámi álbmogis lea ¶
Guđege riikka riikkačoahkkimat 	addet 	dárkilet njuolggadusaid das makkár ¶
konvenšuvdnii , galgá dáhkidit sámiide viidát vuoigatvuođaid go otnáš lágat 	addet 	 ¶
doaibmabijuid mat 	addet 	sámiide buoret váikkuhanválddi mearrádusaide mat gusket ¶
ON-julggaštusa barggu oktavuođas davviriikkat leat dorjon mearrádusaid mat 	addet 	 ¶
maid galgga leat hehttehussan stáhtaide ratifiseremis konvenšuvnnaid mat 	addet 	 ¶
Go leat nationála njuolggadusat mat 	addet 	sámiide buoret vuoigatvuođaid go dán ¶
riikkaidgaskasaš njuolggadusat 	addet 	buoret vuoigatvuođaid go dát konvenšuvdna . ¶
ovddiduvvot nu , ahte 	addet 	álgoálbmogiidda stuorit vuoigatvuođa beassat ieža dahkat ¶
nannoseabbo go dat maid servituhttalága § 2 ja § 3 	addet 	. ¶
maiddái daid njuolggadusaid dáfus mat 	addet 	eananeaiggádii vuoigatvuođa oamastit ¶
dát njuolggadusat 	addet 	sámiide vuoigatvuođat oamastit alccesis vuoittu , de ¶
Odne dat erenoamášvuoigatvuođat leat čuovvovaččat : - sámit ožžot dihto sajiin bivdit sáimmaiguin nuvttá dahje vuollegis mávssu ovdii ( nubbi ášši lea dat ahte eiseválddit dávjá 	addet 	dakkár bivdosajiid main eai leat guolit ) - sámit ožžot nuvttá njeaidit vuovddi ( 50 m3 jahkái ) - boazovázzit ožžot ” vuoládusa ” go láigohit guohtuneatnamiid - sámi studeanttat ožžot álkibut saji muhtun allaskuvllaide ja universitehtaide ¶
Dát cealkadat 	addet 	muhtunmađi rávvagiid dasa movt ártihkkala 1 dajaldat ” álbmot ” galggašii ipmirduvvot . ¶
Son oaivvilda ahte vaikke ILO 169 ii árval makkár-ge vuoigatvuođa mii dolvvošii ieččanasvuođa guvlui , de lihkká-ge 	addet 	ILO 169-njuolggadusat ovttas ártihkkaliiguin 14 , 15 ja 6 , hui čilges vuoigatvuođa eamiálbmogiidda hálddašit iežaset árbevirolaš eatnamiideaset . ¶
Vaikko daid guorahallamiid ii sáhte njuolga buohtastáhttit metodihkkalaš ákkaid geažil ( goabbatlágan kategoriijat ja nyánsaerohusat jearaldagaid dadjamis ) , de goitge 	addet 	dat mearkka das ahte sámeradio sajádat sámi áššiid gaskkusteaddjin lea nanusnuvvon . ¶
Dat geat eai hálddašan sámegiela , vástidedje jagi 2009 49 % ahte sámeradio tv- ja radiosáddagat 	addet 	buoremus dieđuid sámi áššiin , juosgo sámegielagiid lohku lei 51 % . ¶
Aŋkke eai leat dahkan ( álbmogii dovddus ) iskosiid mat 	addet 	čielga dieđuid gehččiid etnalaš gullevašvuođas dahje sosiála duogážis , vaikko livččii sávahahtti , vai livččii beassan geahččalit vejolaš hypotesa čadnon čuoččuhussii . ¶
Dasto lea vel rievddadeaddji ruhtadoarjja maid 	addet 	dan vuođul galle siiddu leat sámegillii . ¶
álbmotválljejuvvon orgána Norggas , lea leamaš digaštallan sámi eavttuid birra , mat 	addet 	rievtti čálihit dán jienastuslohkui ( NOU . ¶
muhtin sámi searvivuhtii ja/dahje/ja vai 	addet 	eahpenjuolggo doarjaga ¶
guorahallamis gos iešguđetlágan variábelat ( ahki , sohkabealli , geografiija ja oahppu ) leat vuđolaččat guorahallon , 	addet 	buoret gova dieid dilálašvuođaid ovttastusain ja riska oažžugoahtit bargonávccahisvuođaoaju dahje ¶
Go garvá guovttegeardán guođoheami jeagelguohtuneatnamiin , de 	addet 	guohtuneatnamat guhkit áigái vuođu oažžut ekologalaš guoddevaš boazoealáhusa . ¶
Danne han boazu válljestallamiin guohtu geasset ja vállje álbmámus šattuid ja šaddoosiid , mat 	addet 	eanemus eallámuša . ¶
Go geassi ain gollá , manná boazu várrái jassaguoraid guohtut , gos gávdná aiddoliđđon šattuid , mat geahppasit smoaldanit ja 	addet 	eallámuša . ¶
Danne sáhttet dát riikkat , čujuhettiin šiehtadussii 3 , doalahit njuolggadusaid mat 	addet 	sámiide sierralágan vuoigatvuođaid dáid riikkaid eará álbmoga ektui . ¶
Mii válljimet dása dakkár dieđuid ja áiggiid , mat čájehit muhtin muddui ealáhusa ovdáneami , ja mat 	addet 	vuođu buohtastahttit . ¶
Dat oasit soahpamušas mat nuppi riikka boazodolliide 	addet 	viidát vuoigatvuođaid dahje geatnegasvuođaid go dát , mat gustojit iežas riikka boazodollui , eai leat lobálaččat . ¶
Konvenšuvnna njuolggadusat 	addet 	čearuide ja boazoorohagaide , main lea rádjerasttildeaddji boazodoallu , vejolašvuođaid fievrridit eallibohccuid ja njuvvojuvvon bohccuid ja boazobuktagiid nuppi riikii almmá mávssekeahttá vearu , duollu ja divvadiid , ja nu ahte sisafievrridan- ja olggosfievrridanmearrádusat eai hehtte sin . ¶
Go garvá guovttegeardán guođoheami jeagelguohtuneatnamiin , de 	addet 	guohtuneatnamat guhkit áigái vuođu oažžut ekologalaš guoddevaš boazoealáhusa . ¶
Danne han boazu válljestallamiin guohtu geasset ja vállje álbmámus šattuid ja šaddoosiid , mat 	addet 	eanemus eallámuša . ¶
Go geassi ain gollá , manná boazu várrái jassaguoraid guohtut , gos gávdná aiddoliđđon šattuid , mat geahppasit smoaldanit ja 	addet 	eallámuša . ¶
Danne sáhttet dát riikkat , čujuhettiin šiehtadussii 3 , doalahit njuolggadusaid mat 	addet 	sámiide sierralágan vuoigatvuođaid dáid riikkaid eará álbmoga ektui . ¶
Mii válljimet dása dakkár dieđuid ja áiggiid , mat čájehit muhtin muddui ealáhusa ovdáneami , ja mat 	addet 	vuođu buohtastahttit . ¶
Dat oasit soahpamušas mat nuppi riikka boazodolliide 	addet 	viidát vuoigatvuođaid dahje geatnegasvuođaid go dát , mat gustojit iežas riikka boazodollui , eai leat lobálaččat . ¶
Konvenšuvnna njuolggadusat 	addet 	čearuide ja boazoorohagaide , main lea rádjerasttildeaddji boazodoallu , vejolašvuođaid fievrridit eallibohccuid ja njuvvojuvvon bohccuid ja boazobuktagiid nuppi riikii almmá mávssekeahttá vearu , duollu ja divvadiid , ja nu ahte sisafievrridan- ja olggosfievrridanmearrádusat eai hehtte sin . ¶
Dála njuolggadusat bieggafápmoprošeavttaid birra mielddisbuktet juohke áidna prošeavtta vuđolaš árvvoštallama energiijalága ja plána- ja huksenlága KU-mearrádusaid olis , ja 	addet 	nu buori vuođi árvvoštallat juohke prošeavtta váikkuhusaid . ¶
Seammás ferte áicat vejolašvuođaid maid kultuvrralaš ovdehusat 	addet 	. ¶
Nuoraidskuvllas ovttaskasbargobihtát ja termiidnaárvosánit 	addet 	muhtun muddui dieđu man muddui oahppi hálddaša fága . ¶
Áigodaga mihttomeriid čuovvoleapmi Guovtti ovdánanságastallama gaskkas sáhttá leat ávkkálaš ahte ságastallanguimmežat doalahit oktavuođa ja gaskkohagaid 	addet 	dieđuid mo dat orru mannamin . ¶
Láhčin dihtii dili buoremus lági mielde juohkehažžii , de lea deaŧalaš ahte váhnemat 	addet 	skuvlii dieđuid máná birra . ¶
Dieđihuvvo maiddái ahte eai leat doarvái resurssat addit dan fálaldaga máid vuođđo- ja joatkkaskuvllas hálidit , ja doppe gos 	addet 	fálaldagat , gártet suohkaniidda // fylkkasuohkaniidda beare stuora liigegolut danin go stáhta ii govčča doarvái guovttegielalašvuođa gullevaš goluid . ¶
Mihttomearrin dál lea nannet suohkaniid ekonomalaš návccaid nu ahte sii sáhttet addit sámegiel ja sámegillii oahpahusa , go gokčá lassegoluid oahpaheaddjebálkkáide mat suohkaniin leat go 	addet 	sámegiela ja sámegillii oahpahusa , ja go nanne sámegiel gelbbolašvuođa oahpaheddjiin geat oahpahit sámegiela . ¶
Virgelobiid 	addet 	dábálaččat jahkái . ¶
Sámi joatkkaskuvla Kárášjogas ja Sámi joatkkaskuvla ja boazodoalloskuvla Guovdageainnus leat stádalaš skuvllat mat 	addet 	oahpahusa joatkkaskuvlla dásis . ¶
Doaibmi lágat sámelága giellanjuolggadusat , ILO-konvenšuvdna jv. 	addet 	čielga láidestemiid suohkana guovttegielalašvuođa ovdáneami bargui . ¶
Vai beassá viidáseappot , de lea dárbbašlaš láhčit doaimmaid mat 	addet 	eanet kulturipmárdusa ja čalmmustahttet sámegiela , kultuvrra ja servodateallima . ¶
Vai beassá viidáseappot , de lea dárbbašlaš láhčit doaimmaid mat 	addet 	eanet kulturipmárdusa ja čalmmustahttet sámegiela ja kultuvrra ea.ea. šiltemiiguin , čiŋahemiiguin jnv. . ¶
Olmmošvuoigatvuođakonvenšuvnnaid erenoamášvuohta lea ahte dat 	addet 	stáhtaide geatnegasvuođaid oktagasaid hárrái stáhtaid jurisdikšuvnna // territoriija ¶
Kultuvradepartemeanta lea ovdehan ahte Gáivuona gielda ja Romssa fylkkagielda 	addet 	mearkkašahtti investerendoarjagiid viiddideapmái . ¶
Dihto surggiin erenoamáš konvenšuvnnain dáidá leat stuorát mearkkašupmi go oppalaš konvenšuvnnain , danne go dat áššálaččat ráddjejuvvon suorggis 	addet 	ovttaskas olbmuide ja joavkkuide nannoset gáhttema ja go dat sáhttet bidjat stáhtaide eambbo doaibmangeatnegasvuođa . ¶
Sámelágas leat dasa lassin njuolggadusat mat 	addet 	Norgga sámi ál-bmogii viiddiduvvon vuoigatvuođa atnit sámegiela vai besset fuolahit iežaset beroštumiid báikkálaš ja guovllu dearvvašvuođa- ja sosialásahusaid ektui . ¶
